../Instances/CVRP/X-n190-k8.vrp;1;18059;0.005146
../Instances/CVRP/X-n190-k8.vrp;1;17727;0.008247
../Instances/CVRP/X-n190-k8.vrp;1;17721;0.018386
../Instances/CVRP/X-n190-k8.vrp;1;17639;0.0253
../Instances/CVRP/X-n190-k8.vrp;1;17573;0.031798
../Instances/CVRP/X-n190-k8.vrp;1;17478;0.043603
../Instances/CVRP/X-n190-k8.vrp;1;17390;0.367602
../Instances/CVRP/X-n190-k8.vrp;1;17341;0.746775
../Instances/CVRP/X-n190-k8.vrp;1;17338;0.840875
../Instances/CVRP/X-n190-k8.vrp;1;17315;0.86782
../Instances/CVRP/X-n190-k8.vrp;1;17308;1.06454
../Instances/CVRP/X-n190-k8.vrp;1;17307;1.83862
../Instances/CVRP/X-n190-k8.vrp;1;17302;2.20663
../Instances/CVRP/X-n190-k8.vrp;1;17247;2.67924
../Instances/CVRP/X-n190-k8.vrp;1;17229;4.47814
../Instances/CVRP/X-n190-k8.vrp;1;17179;4.50364
../Instances/CVRP/X-n190-k8.vrp;1;17172;5.35679
../Instances/CVRP/X-n190-k8.vrp;1;17137;6.19747
../Instances/CVRP/X-n190-k8.vrp;1;17098;6.46517
../Instances/CVRP/X-n190-k8.vrp;1;17066;13.3482
../Instances/CVRP/X-n190-k8.vrp;1;17053;24.8544
../Instances/CVRP/X-n190-k8.vrp;1;17040;30.9455
../Instances/CVRP/X-n190-k8.vrp;1;17021;33.5099
../Instances/CVRP/X-n190-k8.vrp;1;17017;34.0576
../Instances/CVRP/X-n190-k8.vrp;1;17006;38.9432
../Instances/CVRP/X-n190-k8.vrp;1;17003;41.3667
../Instances/CVRP/X-n190-k8.vrp;1;17002;43.8639
../Instances/CVRP/X-n190-k8.vrp;1;16999;47.4174
../Instances/CVRP/X-n190-k8.vrp;1;16997;59.5471
../Instances/CVRP/X-n190-k8.vrp;1;16995;75.7828
../Instances/CVRP/X-n190-k8.vrp;1;16990;87.7104
../Instances/CVRP/X-n190-k8.vrp;1;16988;92.018
../Instances/CVRP/X-n190-k8.vrp;1;16987;109.622
