Instance name,number of customers,cost,generate population time,crossover time,localsearch time,add Individual  to population time
X-n685-k75,684,68438,0.969192,21.8744,250.937,16.1568
X-n701-k44,700,82353,1.85393,20.6133,852.098,25.1994
X-n716-k35,715,43549,2.00891,14.0201,793.883,24.2677
X-n733-k159,732,136581,0.871987,33.9311,608.401,29.4375
X-n749-k98,748,77412,1.21253,69.6035,7510.11,811.222
X-n766-k71,765,114772,2.73408,979.803,11873.1,29.8577
X-n783-k48,782,72875,2.11213,19.5223,3263.18,19.2313
X-n801-k40,800,73476,2.44777,15.1041,664.561,18.05
X-n819-k171,818,158388,1.19644,71.2379,741.209,32.8748
X-n837-k142,836,194316,1.44162,47.5617,3029.36,22.6954
X-n856-k95,855,89141,1.10415,8.98064,205.648,12.2879
